feature1	feature2	r
CD4+CD25+_Raw	CD8+Effector Memory_Raw	-0.233
CD4+CD25+_Raw	CD8+Effector Memory TD_Raw	-0.2184
CD4+CD25+_Raw	CD8+FoxP3+CD25+_Raw	0.0768
CD4+CD25+_Raw	CD8+Va7.2+CD161+_Raw	-0.0401
CD4+CD25+_Raw	CD8+Naïve_Raw	-0.039
CD4+CD25+_Raw	CD8+PD1+_Raw	0.3337
CD4+CD25+_Raw	CD8+PDL1+_Raw	-0.117
CD4+CD25+_Raw	CD8+CD38+HLA-DR+_Raw	0.1005
CD4+CD25+_Raw	CD8+CD38+HLA-DR-_Raw	-0.2293
B cells (% of CD3- CD45+)_Raw	CD4+CD25+_Raw	-0.2146
CD4+CD25+_Raw	NK cells (% of CD3- CD45+)_Raw	0.1221
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD25+_Raw	0.1936
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD25+_Raw	-0.3042
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD25+_Raw	0.1265
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD25+_Raw	-0.1142
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD25+_Raw	0.0312
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD25+_Raw	-0.0235
CD4+CD40+_Raw	CD4+CD69+_Raw	-0.0109
CD4+CD40+_Raw	CD4+CD90+_Raw	-0.0485
CD4+CD103+_Raw	CD4+CD40+_Raw	-0.0188
CD4+CD127+_Raw	CD4+CD40+_Raw	0.062
CD4+CD161+_Raw	CD4+CD40+_Raw	-0.0578
CD4+CD40+_Raw	CD4+CTLA4+_Raw	-0.0227
CD4+CD40+_Raw	CD4+FoxP3+CD25+_Raw	-0.0241
CD4+CD40+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0532
CD4+CD40+_Raw	CD4+Va7.2+CD161+_Raw	-0.0214
CD4+CD40+_Raw	CD4+PD1+_Raw	-0.0324
CD4+ Central Memory_Raw	CD4+CD40+_Raw	0.0011
CD4+ Effector Memory_Raw	CD4+CD40+_Raw	0.0273
CD4+ Effector Memory TD_Raw	CD4+CD40+_Raw	0.0459
CD4+ Naïve_Raw	CD4+CD40+_Raw	-0.0089
CD4+CD40+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0516
CD4+CD38+HLA-DR+_Raw	CD4+CD40+_Raw	0.0265
CD4+CD38+HLA-DR-_Raw	CD4+CD40+_Raw	0.017
CD4+CD40+_Raw	CD4-CD8-_Raw	0.0751
CD4+CD40+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0328
CD3+CD8+_Raw	CD4+CD40+_Raw	-0.08
CD4+CD40+_Raw	CD8+CD25+_Raw	-0.0276
CD4+CD40+_Raw	CD8+CD40+_Raw	0.0409
CD4+CD40+_Raw	CD8+CD69+_Raw	-0.0351
CD4+CD40+_Raw	CD8+CD90+_Raw	-0.0396
CD4+CD40+_Raw	CD8+CD103+_Raw	0.0367
CD4+CD40+_Raw	CD8+CD127+_Raw	0.0184
CD4+CD40+_Raw	CD8+ Central Memory_Raw	0.0024
CD4+CD40+_Raw	CD8+Effector Memory_Raw	0.0073
CD4+CD40+_Raw	CD8+Effector Memory TD_Raw	0.0395
CD4+CD40+_Raw	CD8+FoxP3+CD25+_Raw	0.0059
CD4+CD40+_Raw	CD8+Va7.2+CD161+_Raw	0.0081
CD4+CD40+_Raw	CD8+Naïve_Raw	0.0445
